1305 東証ETF ダイワ 上場投信-トピックス（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","1927","1947","1925","1947","492050","1947"
"2018-01-05","1955","1964","1954","1963","248240","1963"
"2018-01-09","1978","1980","1967","1971","484530","1971"
"2018-01-10","1973","1978","1972","1974","171880","1974"
"2018-01-11","1966","1971","1961","1971","40800","1971"
"2018-01-12","1968","1969","1956","1959","51940","1959"
"2018-01-15","1976","1976","1966","1966","157550","1966"
"2018-01-16","1967","1979","1965","1978","38890","1978"
"2018-01-17","1967","1976","1966","1975","310950","1975"
"2018-01-18","1993","1993","1958","1961","326800","1961"
"2018-01-19","1971","1975","1967","1974","86960","1974"
"2018-01-22","1974","1976","1969","1976","12470","1976"
"2018-01-23","1985","1997","1983","1996","101460","1996"
"2018-01-24","1989","1993","1982","1984","134830","1984"
"2018-01-25","1969","1978","1968","1968","123980","1968"
"2018-01-26","1971","1976","1961","1961","255700","1961"
"2018-01-29","1966","1973","1961","1964","60330","1964"
"2018-01-30","1963","1963","1935","1940","436560","1940"
"2018-01-31","1933","1942","1918","1918","1288940","1918"
"2018-02-01","1933","1954","1930","1951","123160","1951"
"2018-02-02","1947","1951","1931","1946","195680","1946"
"2018-02-05","1915","1918","1902","1905","735330","1905"
"2018-02-06","1827","1833","1784","1820","1166930","1820"
"2018-02-07","1876","1884","1825","1825","321280","1825"
"2018-02-08","1838","1851","1831","1843","113420","1843"
"2018-02-09","1786","1811","1784","1811","275180","1811"
"2018-02-13","1829","1829","1789","1792","255860","1792"
"2018-02-14","1798","1803","1766","1779","781460","1779"
"2018-02-15","1795","1804","1789","1793","320190","1793"
"2018-02-16","1807","1825","1804","1814","227880","1814"
"2018-02-19","1833","1854","1827","1853","228230","1853"
"2018-02-20","1848","1848","1832","1841","46980","1841"
"2018-02-21","1845","1853","1831","1840","202440","1840"
"2018-02-22","1830","1830","1815","1825","276420","1825"
"2018-02-23","1827","1839","1825","1838","356390","1838"
"2018-02-26","1855","1859","1848","1855","340630","1855"
"2018-02-27","1869","1875","1866","1870","218880","1870"
"2018-02-28","1862","1872","1846","1848","82920","1848"
